locus_id	isoform	p-value-1	p-value-2	p-value_lowest
SNOO_549690	SNOO_549690_5	0.2447552447552438	0.1398601398601395	0.1398601398601395
SNOO_074380	SNOO_074380A_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_012360	SNOO_012360A_1	0.4038461538461552	0.4615384615384615	0.4038461538461552
SNOO_116880	SNOO_116880A_2	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_056520	SNOO_056520A_1	0.5384615384615398	0.5274725274725256	0.5274725274725256
SNOO_304740	SNOO_304740A_1	0.2447552447552455	0.0257258350469542	0.0257258350469542
SNOO_077470	SNOO_077470A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_430650	SNOO_430650A_4	0.2447552447552438	0.1118881118881117	0.1118881118881117
SNOO_144870	SNOO_144870A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_546720	SNOO_546720_1	0.5384615384615398	0.5274725274725256	0.5274725274725256
SNOO_005030	SNOO_005030A_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_409330	SNOO_409330A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_142720	SNOO_142720A_1	0.2447552447552455	0.4195804195804207	0.2447552447552455
SNOO_401870	SNOO_401870A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_411120	SNOO_411120A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_645790	SNOO_645790_1	0.2447552447552438	0.3729603729603725	0.2447552447552438
SNOO_645790	SNOO_645790_2	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_307380	SNOO_307380A_1	0.1839397205857208	0.2102168235265388	0.1839397205857208
SNOO_030020	SNOO_030020A_1	0.2447552447552438	0.3496503496503492	0.2447552447552438
SNOO_084020	SNOO_084020A_2	0.4079254079254084	0.1398601398601395	0.1398601398601395
SNOO_420320	SNOO_420320A_1	0.2447552447552438	0.3729603729603725	0.2447552447552438
SNOO_573540	SNOO_573540_1	0.2447552447552438	0.3729603729603725	0.2447552447552438
SNOO_111620	SNOO_111620A_1	0.2447552447552455	0.3356643356643369	0.2447552447552455
SNOO_417290	SNOO_417290A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_100770	SNOO_100770A_1	0.4038461538461552	0.0565968371032989	0.0565968371032989
SNOO_091490	SNOO_091490A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_505740	SNOO_505740_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_412190	SNOO_412190A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_153730	SNOO_153730A_1	0.1284965034965036	0.0489510489510489	0.0489510489510489
SNOO_141140	SNOO_141140A_1	0.084895255654948	0.5274725274725256	0.084895255654948
SNOO_527910	SNOO_527910_1	0.3671328671328668	0.4195804195804207	0.3671328671328668
SNOO_058560	SNOO_058560A_1	0.5384615384615398	0.0606394683249629	0.0606394683249629
SNOO_034570	SNOO_034570A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_018370	SNOO_018370A_2	0.3671328671328668	0.2797202797202817	0.2797202797202817
SNOO_305780	SNOO_305780A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_046880	SNOO_046880A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_560550	SNOO_560550_1	0.1223776223776225	0.4195804195804207	0.1223776223776225
SNOO_009220	SNOO_009220A_1	0.4079254079254084	0.3496503496503492	0.3496503496503492
SNOO_000060	SNOO_000060A_1	0.3671328671328668	0.2797202797202817	0.2797202797202817
SNOO_033120	SNOO_033120A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_147580	SNOO_147580A_1	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_579960	SNOO_579960_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_146370	SNOO_146370A_1	0.2447552447552455	0.4195804195804207	0.2447552447552455
SNOO_416770	SNOO_416770A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_421080	SNOO_421080A_1	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_421080	SNOO_421080A_2	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_143280	SNOO_143280A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_054990	SNOO_054990A_1	0.1223776223776225	0.2097902097902099	0.1223776223776225
SNOO_400040	SNOO_400040A_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_510040	SNOO_510040_1	0.2447552447552438	0.3496503496503492	0.2447552447552438
SNOO_076820	SNOO_076820AB_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_156530	SNOO_156530A_1	0.2447552447552438	0.3496503496503492	0.2447552447552438
SNOO_038310	SNOO_038310A_1	0.3671328671328668	0.2797202797202817	0.2797202797202817
SNOO_305760	SNOO_305760A_1	0.2447552447552438	0.3729603729603725	0.2447552447552438
SNOO_158810	SNOO_158810A_1	0.2447552447552455	0.4195804195804207	0.2447552447552455
SNOO_510320	SNOO_510320_1	0.4079254079254084	0.3496503496503492	0.3496503496503492
SNOO_136920	SNOO_136920A_1	0.2447552447552455	0.1598401598401601	0.1598401598401601
SNOO_148830	SNOO_148830A_1	0.4079254079254084	0.1118881118881117	0.1118881118881117
SNOO_050070	SNOO_050070A_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_507110	SNOO_507110_1	0.4079254079254084	0.3496503496503492	0.3496503496503492
SNOO_414740	SNOO_414740A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_052400	SNOO_052400A_1	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_089130	SNOO_089130A_1	0.3671328671328668	0.2797202797202817	0.2797202797202817
SNOO_105040	SNOO_105040A_1	0.1839397205857208	0.2102168235265388	0.1839397205857208
SNOO_401030	SNOO_401030A_1	0.2447552447552455	0.1598401598401601	0.1598401598401601
SNOO_153240	SNOO_153240A_1	0.0353730231895614	0.3296703296703253	0.0353730231895614
SNOO_420090	SNOO_420090A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_031710	SNOO_031710A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_557000	SNOO_557000_1	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_432650	SNOO_432650A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_093060	SNOO_093060A_1	0.4405594405594418	0.4195804195804207	0.4195804195804207
SNOO_447850	SNOO_447850A_1	0.5384615384615398	0.0606394683249629	0.0606394683249629
SNOO_113420	SNOO_113420A_1	0.2447552447552455	0.1598401598401601	0.1598401598401601
SNOO_431550	SNOO_431550A_1	0.0489510489510486	0.1398601398601395	0.0489510489510486
SNOO_431550	SNOO_431550A_2	0.0489510489510486	0.1398601398601395	0.0489510489510486
SNOO_447000	SNOO_447000A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_025530	SNOO_025530A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_044480	SNOO_044480A_1	0.5384615384615398	0.0606394683249629	0.0606394683249629
SNOO_075520	SNOO_075520A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_125630	SNOO_125630A_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_146930	SNOO_146930A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_133950	SNOO_133950A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_028890	SNOO_028890A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
